date,ndvi
2017-01-01,0.2604218
2017-02-01,0.39282086
2017-03-01,0.4612898
2017-04-01,0.3749099
2017-05-01,0.2100932
2017-06-01,0.19391917
2017-07-01,0.18783215
2017-08-01,0.19751514
2017-09-01,0.20947482
2017-10-01,0.18935657
2017-11-01,0.1898534
2017-12-01,0.18166776
2018-01-01,0.17180027
2018-02-01,0.28817943
2018-03-01,0.39421362
2018-04-01,0.2528053
2018-05-01,0.1659445
2018-06-01,0.16205494
2018-07-01,0.1519186
2018-08-01,0.15136085
2018-09-01,0.15542215
2018-10-01,0.15724944
2018-11-01,0.15358415
2018-12-01,0.18609929
2019-01-01,0.23426624
2019-02-01,0.41878927
2019-03-01,0.5130066
2019-04-01,0.32122788
2019-05-01,0.2126904
2019-06-01,0.19233803
2019-07-01,0.19157635
2019-08-01,0.20579861
2019-09-01,0.19895762
2019-10-01,0.18773547
2019-11-01,0.18010008
2019-12-01,0.27354285
2020-01-01,0.34415245
2020-02-01,0.32871088
2020-03-01,0.35190892
2020-04-01,0.43677726
2020-05-01,0.22719455
2020-06-01,0.18913056
2020-07-01,0.19342686
2020-08-01,0.20616014
2020-09-01,0.1855524
2020-10-01,0.1953666
2020-11-01,0.1907674
2020-12-01,0.19705299
2021-01-01,0.19088593
2021-02-01,0.25386804
2021-03-01,0.23358105
2021-04-01,0.17175451
2021-05-01,0.1428067
2021-06-01,0.13588284
2021-07-01,0.12583354
2021-08-01,0.11728598
2021-09-01,0.13268895
2021-10-01,0.15842022
2021-11-01,0.15396985
2021-12-01,0.18439743
2022-01-01,0.32711095
2022-02-01,0.34994277
2022-03-01,0.4005575
2022-04-01,0.23031859
2022-05-01,0.17494974
2022-06-01,0.16511184
2022-07-01,0.16521122
2022-08-01,0.15459312
2022-09-01,0.17659071
2022-10-01,0.18173133
2022-11-01,0.22950965
2022-12-01,0.26230264
2023-01-01,0.4996238
2023-02-01,0.5083228
2023-03-01,0.52764755
2023-04-01,0.40404212
2023-05-01,0.27587456
2023-06-01,0.22164911
2023-07-01,0.20588326
2023-08-01,0.27627137
2023-09-01,0.35439655
2023-10-01,0.2980061
2023-11-01,0.2411178
2023-12-01,0.2266466
2024-01-01,0.3183438
2024-02-01,0.51260835
2024-03-01,0.5596385
2024-04-01,0.5343084
2024-05-01,0.21899036
2024-06-01,0.17350325
2024-07-01,0.18962754
