date,prcp (mm/day)
1980-12-31,359.43
1981-12-31,174.24
1982-12-31,284.85
1983-12-31,444.05
1984-12-31,143.55
1985-12-31,52.71
1986-12-31,209.23
1987-12-31,209.09
1988-12-31,205.33
1989-12-31,78.82
1990-12-31,48.76
1991-12-31,272.93
1992-12-31,385.32
1993-12-31,403.36
1994-12-31,123.75
1995-12-31,256.38
1996-12-31,198.88
1997-12-31,146.62
1998-12-31,345.39
1999-12-31,67.47
2000-12-31,134.55
2001-12-31,238.37
2002-12-31,101.28
2003-12-31,231.32999999999998
2004-12-31,322.58
2005-12-31,426.52
2006-12-31,166.74
2007-12-31,60.13
2008-12-31,235.01
2009-12-31,128.49
2010-12-31,393.26
2011-12-31,171.0
2012-12-31,70.83
2013-12-31,68.55
2014-12-31,163.01
2015-12-31,153.66
2016-12-31,173.12
2017-12-31,181.41
2018-12-31,156.31
2019-12-31,360.33
2020-12-31,182.3
2021-12-31,162.39
2022-12-31,100.6
2023-12-31,404.02
2024-12-31,242.79
