date,ndvi
2017-01-01,0.15115935
2017-02-01,0.3179419
2017-03-01,0.40288144
2017-04-01,0.17855471
2017-05-01,0.17237304
2017-06-01,0.15617822
2017-07-01,0.13528885
2017-08-01,0.15674378
2017-09-01,0.16421767
2017-10-01,0.1780041
2017-11-01,0.1863945
2017-12-01,0.19201948
2018-01-01,0.19697352
2018-02-01,0.17421557
2018-03-01,0.16805914
2018-04-01,0.15283361
2018-05-01,0.14943172
2018-06-01,0.14174592
2018-07-01,0.13887918
2018-08-01,0.12791333
2018-09-01,0.13826913
2018-10-01,0.16135763
2018-11-01,0.15579079
2018-12-01,0.17244975
2019-01-01,0.27498758
2019-02-01,0.3957417
2019-03-01,0.39719626
2019-04-01,0.18202923
2019-05-01,0.16612391
2019-06-01,0.15368336
2019-07-01,0.15911429
2019-08-01,0.16420962
2019-09-01,0.1636563
2019-10-01,0.17193782
2019-11-01,0.17620783
2019-12-01,0.29192182
2020-01-01,0.2889479
2020-02-01,0.24611504
2020-03-01,0.20914057
2020-04-01,0.2522752
2020-05-01,0.18553522
2020-06-01,0.14265022
2020-07-01,0.14300439
2020-08-01,0.11833705
2020-09-01,0.1110281
2020-10-01,0.16240074
2020-11-01,0.17153649
2020-12-01,0.17871073
2021-01-01,0.16134846
2021-02-01,0.15760182
2021-03-01,0.15048532
2021-04-01,0.13947369
2021-05-01,0.13560568
2021-06-01,0.13024776
2021-07-01,0.09852491
2021-08-01,0.11653754
2021-09-01,0.119607106
2021-10-01,0.12677081
2021-11-01,0.14166333
2021-12-01,0.16210829
2022-01-01,0.15507647
2022-02-01,0.15434277
2022-03-01,0.14510864
2022-04-01,0.12575166
2022-05-01,0.12703933
2022-06-01,0.10950066
2022-07-01,0.11898901
2022-08-01,0.101519205
2022-09-01,0.11342488
2022-10-01,0.18578772
2022-11-01,0.17184666
2022-12-01,0.16551997
2023-01-01,0.17043412
2023-02-01,0.17831522
2023-03-01,0.24082264
2023-04-01,0.15658925
2023-05-01,0.13389768
2023-06-01,0.123359874
2023-07-01,0.124281086
2023-08-01,0.11729002
2023-09-01,0.14623192
2023-10-01,0.15294965
2023-11-01,0.16869083
2023-12-01,0.15580583
2024-01-01,0.22519769
2024-02-01,0.32945758
2024-03-01,0.24616899
2024-04-01,0.15518759
2024-05-01,0.13473983
2024-06-01,0.13384342
2024-07-01,0.13880414
