date,ndvi
2017-01-01,0.38200006
2017-02-01,0.46866238
2017-03-01,0.5479017
2017-04-01,0.35566238
2017-05-01,0.2453599
2017-06-01,0.22011113
2017-07-01,0.21257463
2017-08-01,0.2121304
2017-09-01,0.20659854
2017-10-01,0.21252933
2017-11-01,0.20756109
2017-12-01,0.22533529
2018-01-01,0.27713624
2018-02-01,0.2678275
2018-03-01,0.34890804
2018-04-01,0.3123269
2018-05-01,0.23299806
2018-06-01,0.213822
2018-07-01,0.1618288
2018-08-01,0.16817488
2018-09-01,0.1804533
2018-10-01,0.20666756
2018-11-01,0.19975972
2018-12-01,0.27788255
2019-01-01,0.3520095
2019-02-01,0.4912429
2019-03-01,0.5531643
2019-04-01,0.4797902
2019-05-01,0.2695173
2019-06-01,0.22526184
2019-07-01,0.2103885
2019-08-01,0.20363861
2019-09-01,0.2108786
2019-10-01,0.22900297
2019-11-01,0.232601
2019-12-01,0.3778514
2020-01-01,0.41038498
2020-02-01,0.38682044
2020-03-01,0.36463574
2020-04-01,0.37699416
2020-05-01,0.37556934
2020-06-01,0.24071681
2020-07-01,0.22499473
2020-08-01,0.14882709
2020-09-01,0.20098414
2020-10-01,0.23805375
2020-11-01,0.24244685
2020-12-01,0.22308652
2021-01-01,0.25149935
2021-02-01,0.3021899
2021-03-01,0.31401995
2021-04-01,0.24289821
2021-05-01,0.19488607
2021-06-01,0.18583144
2021-07-01,0.1668299
2021-08-01,0.1753372
2021-09-01,0.19991076
2021-10-01,0.21066262
2021-11-01,0.23462734
2021-12-01,0.22780013
2022-01-01,0.39966738
2022-02-01,0.4155402
2022-03-01,0.32094613
2022-04-01,0.28236017
2022-05-01,0.21109799
2022-06-01,0.19416308
2022-07-01,0.18578699
2022-08-01,0.18684529
2022-09-01,0.19365828
2022-10-01,0.22443114
2022-11-01,0.2356073
2022-12-01,0.2944171
2023-01-01,0.46526375
2023-02-01,0.48844838
2023-03-01,0.54134643
2023-04-01,0.5086349
2023-05-01,0.39938134
2023-06-01,0.28970376
2023-07-01,0.25688845
2023-08-01,0.25624567
2023-09-01,0.23861852
2023-10-01,0.25960436
2023-11-01,0.25593632
2023-12-01,0.24830358
2024-01-01,0.38011435
2024-02-01,0.5740048
2024-03-01,0.60006505
2024-04-01,0.5393278
2024-05-01,0.29377586
2024-06-01,0.27093458
2024-07-01,0.24199012
